,Weight
CEG,0.024013774818368937
LH,2.3153832729250623e-15
BA,4.2337423999702873e-14
CARR,3.8867403882348484e-15
DOW,1.2519413093743019e-14
PH,8.582799919074856e-15
EMR,6.116614914416165e-15
JBL,0.014654162489347557
SWK,5.963670493028659e-15
URI,0.04966770226795741
BSX,6.439962275831767e-15
DLTR,4.624211832099575e-14
ORCL,0.0010480813337442028
HUBB,1.2563446307837157e-14
LYB,9.528556015585744e-15
XYL,2.0539702545349597e-14
HON,2.877695811499134e-14
DD,1.4847603702416804e-15
ROP,2.0408768629028168e-14
UNH,1.4478158540059056e-15
IBM,5.666889224548468e-15
GRMN,9.522537055854832e-15
CMI,9.82190999875456e-15
BKR,0.01248910602457419
GLW,3.911126778508628e-15
SYK,1.7789288878571127e-15
FTV,3.259800884638433e-14
ETN,1.722075991188273e-15
CHD,2.565010616527998e-14
OTIS,2.685780610222824e-15
PCAR,0.007574019916308598
DGX,1.075645194110803e-15
AME,1.0682876278625452e-14
DRI,4.8412720800237095e-15
APH,2.636757060741053e-15
AOS,1.558099370704596e-14
HUM,4.013474060732775e-14
CLX,1.774089976597699e-14
ORLY,3.619531941398034e-15
CTAS,0.03326974675490526
ECL,6.757629942845545e-15
TER,4.350913132985215e-14
TMUS,0.019194717085163977
MAS,5.502017302478585e-15
TDG,1.1913437678582467e-14
JNPR,1.3622422698163386e-15
NSC,1.756800182376605e-14
FAST,8.285525036090997e-16
PAYX,1.1703719250309415e-15
ROK,3.538408133486223e-14
ITW,2.8023856980196076e-16
CSCO,3.966077662052648e-15
CPRT,4.702833332884101e-15
TMO,2.347445582781246e-15
OKE,5.491425492992149e-15
EXC,2.8370627131379654e-14
EMN,2.3726974353305457e-14
PWR,8.991874274739789e-15
NEM,2.2217982369897515e-14
DOV,9.666412465979942e-16
VTR,6.352794813909915e-15
TXT,1.1361928229357228e-14
TXN,3.576857863539513e-15
PG,2.0989941397072788e-14
AVY,1.435780866621548e-14
DTE,1.052731933513489e-14
MGM,1.7758975995246486e-15
BR,6.268677421758566e-16
GD,1.0709347516298953e-14
ADP,4.301592171765707e-15
PPL,7.729258608470206e-15
NI,6.341392369654562e-15
MLM,1.0613082015502441e-14
IDXX,1.7598698173583323e-14
HCA,2.0283526906004023e-15
SHW,2.935903346773139e-15
HWM,0.01323404821326271
ZTS,9.225517018685486e-15
RCL,0.03126908868155747
GWW,7.851665886199862e-15
CDW,3.274156853140761e-14
CAH,0.06108905226782298
HPE,2.9773483409302055e-15
HD,5.121205347269494e-15
HSY,2.2700824054178778e-14
RTX,3.1908995447119797e-15
UNP,1.5421166800128957e-14
MCK,0.0006960173887523707
AES,5.486167092476587e-14
FICO,0.07043793654069479
INTC,8.070215974469188e-14
JCI,2.999782402418134e-14
ATO,1.3691331348373123e-15
HAS,6.124548009150927e-15
LOW,7.120811020568614e-15
ALLE,7.908241435011932e-15
WELL,7.562936750011523e-15
ISRG,9.542511672898394e-15
VRSN,5.0392073532238015e-14
TRGP,0.16136254621750132
LMT,6.1386686423528615e-15
ETSY,-0.020985816742368914
DXCM,-0.02936912368790056
ILMN,-0.03220253575932371
PAYC,-0.004057271377835436
VFC,-0.012103337684311388
ABNB,-4.527963528870956e-15
APA,-0.061817719843850774
UPS,-0.08134752928442311
EPAM,-0.017079910646321736
CHTR,-0.03010631329163356
MOS,-0.02646570516848188
EXPE,-0.021466597417458114
MPC,-4.198661496548431e-15
PANW,-7.11610742174239e-15
VLO,-5.460910027952746e-15
COR,-0.07421649763866185
BXP,-0.02460804723468918
MRO,-3.2548655714331753e-15
HAL,-0.050372612166600744
MRNA,-0.013800982101210904
